先攻,デスガイド,デスガイド,うさぎ,セアミン,クラッタ,n,ハゥフニス,n,n,n,n,n,勝ち,ティアラ
先攻,ベイゴマ,増G,うらら,墓穴,キャリー,n,泡影,n,n,n,n,n,勝ち,スプラツイン
後攻,わらし,うさぎ,タケトンボ,サイコトラッカー,泡影,デスガイド,うらら,大量妨害,n,n,n,n,負け,斬機
先攻,増G,増G,わらし,サイコウィールダー,墓穴,n,泡影,n,n,n,n,n,負け,クシャ
先攻,デスガイド,ベイゴマ,リオン,キャリー,抹殺,n,うらら,n,n,n,n,n,勝ち,HERO
後攻,うらら,サイコウィールダー,リオン,緊テレ,泡影,セアミン,うらら,n,n,n,n,n,勝ち,ティアラ
先攻,ベイゴマ,わらし,RB,緊テレ,フルアーマード,n,ニビル,サンボル,ライスト,n,n,n,負け,天盃龍
先攻,緊テレ,わらし,セアミン,セアミン,リオン,n,増G,n,n,n,n,n,負け,天盃龍
先攻,ヴェーラー,タケトンボ,セアミン,キャリー,緊テレ,n,泡影,n,n,n,n,n,勝ち,ティアラ
先攻,ベイゴマ,タケトンボ,うらら,リオン,クラッタ,スタートエンジン,n,n,n,n,n,n,勝ち,霊獣
先攻,キャリー,ヴェーラー,うらら,リオン,緊テレ,n,n,n,n,n,n,n,勝ち,ジェネレイド
先攻,ヴェーラー,デスガイド,うさぎ,墓穴,三戦,n,うらら,増G,n,n,n,n,勝ち,ユベル
後攻,増G,うさぎ,抹殺,三戦,泡影,3ドロー,大量妨害,n,n,n,n,n,負け,みかんこ
先攻,ベイゴマ,うさぎ,うらら,サイコウィールダー,泡影,n,アトラクター,n,n,n,n,n,勝ち,クシャ
後攻,増G,サイコウィールダー,セアミン,フォクシー,フルアーマード,3ドロー,大量妨害,n,n,n,n,n,負け,粛声
後攻,ベイゴマ,リオン,フォクシー,緊テレ,抹殺,n,n,n,n,n,n,n,負け,ティアラ
先攻,ベイゴマ,うらら,わらし,セアミン,スタートエンジン,n,うさぎ,泡影,n,n,n,n,勝ち,天盃龍
先攻,ベイゴマ,ヴェーラー,キャリー,ミアンダ,抹殺,n,増G,うらら,n,n,n,n,勝ち,センチュリオン
先攻,ヴェーラー,ベイゴマ,サイコウィールダー,リオン,泡影,n,n,n,n,n,n,n,勝ち,炎の剣士
後攻,増G,ヴェーラー,ベターラック,墓穴,フルアーマード,n,うらら,大量妨害,n,n,n,n,負け,魔術師
後攻,増G,セアミン,フォクシー,墓穴,泡影,2ドロー,n,n,n,n,n,n,勝ち,暗黒界
後攻,ヴェーラー,ベイゴマ,リオン,指名者,三戦,デスガイド,ニビル,大量妨害,n,n,n,n,負け,クシャ
先攻,ヴェーラー,ヴェーラー,ベイゴマ,タケトンボ,ミアンダ,n,n,n,n,n,n,n,勝ち,センチュリオン
先攻,増G,増G,リオン,ミアンダ,RB,n,うらら,n,n,n,n,n,負け,天盃龍
先攻,ベイゴマ,キャリー,特攻ダグ,大参上,泡影,n,n,n,n,n,n,n,勝ち,ラビュ
先攻,増G,うらら,サイコトラッカー,RB,フルアーマード,n,うらら,n,n,n,n,n,勝ち,炎王
先攻,ヴェーラー,うさぎ,わらし,墓穴,泡影,n,n,n,n,n,n,n,負け,キマイラ
先攻,デスガイド,うさぎ,セアミン,リオン,RB,n,ヴェーラー,泡影,n,n,n,n,負け,天盃龍
先攻,増G,サイコウィールダー,特攻ダグ,抹殺,ベターラック,n,増G,n,n,n,n,n,勝ち,センチュリオン
後攻,増G,うらら,ベイゴマ,キャリー,フォクシー,n,三戦,n,n,n,n,n,勝ち,光闇シンクロ
後攻,泡影,セアミン,フォクシー,墓穴,スタートエンジン,n,大量妨害,n,n,n,n,n,負け,ティアラ
先攻,デスガイド,リオン,緊テレ,抹殺,泡影,n,ガンマ,ライスト,n,n,n,n,勝ち,天盃龍
先攻,ヴェーラー,わらし,わらし,サイコトラッカー,抹殺,n,ドロバ,大嵐,n,n,n,n,勝ち,天盃龍
後攻,うさぎ,わらし,リオン,特攻ダグ,RB,n,大量妨害,n,n,n,n,n,負け,スプラルーン
先攻,リオン,RB,墓穴,増G,スタートエンジン,n,n,n,n,n,n,n,負け,幻奏
先攻,デスガイド,うらら,うらら,リオン,クラッタ,n,うらら,n,n,n,n,n,負け,天盃龍
先攻,ベイゴマ,サイコトラッカー,特攻ダグ,墓穴,スタートエンジン,n,増G,一滴,ハーピィ,n,n,n,勝ち,天盃龍
後攻,増G,デスガイド,デスガイド,ベイゴマ,抹殺,フルアーマード,大量妨害,n,n,n,n,n,負け,ふわんだりぃず
先攻,タケトンボ,フォクシー,墓穴,大参上,泡影,n,n,n,n,n,n,n,勝ち,炎王
後攻,ヴェーラー,うさぎ,うらら,リオン,墓穴,n,n,n,n,n,n,n,負け,キマイラ
後攻,ベイゴマ,キャリー,墓穴,抹殺,ベターラック,n,n,n,n,n,n,n,負け,マドルチェ
先攻,ヴェーラー,デスガイド,ベイゴマ,サイコウィールダー,スタートエンジン,n,うらら,n,n,n,n,n,勝ち,ユベル
先攻,うらら,リオン,フォクシー,緊テレ,墓穴,n,n,n,n,n,n,n,勝ち,ティアラ
先攻,ベイゴマ,デスガイド,うさぎ,サイコトラッカー,キャリー,n,n,n,n,n,n,n,勝ち,ティアラ
先攻,ヴェーラー,増G,うらら,緊テレ,墓穴,n,うらら,n,n,n,n,n,勝ち,ユベル
後攻,ヴェーラー,ベイゴマ,タケトンボ,わらし,スタートエンジン,セアミン,増G,n,n,n,n,n,負け,クシャ
後攻,デスガイド,うさぎ,サイコトラッカー,三戦,大参上,n,n,n,n,n,n,n,勝ち,HERO
先攻,ヴェーラー,増G,デスガイド,セアミン,ミアンダ,n,n,n,n,n,n,n,勝ち,R-ACE
先攻,抹殺,デスガイド,リオン,わらし,泡影,n,増G,n,n,n,n,n,勝ち,炎王
先攻,増G,サイコトラッカー,セアミン,三戦,フルアーマード,n,ヴェーラー,クロウ,n,n,n,n,勝ち,天盃龍
後攻,サイコトラッカー,リオン,キャリー,墓穴,抹殺,n,大量妨害,n,n,n,n,n,負け,炎王
先攻,ヴェーラー,デスガイド,ミアンダ,墓穴,泡影,n,アトラクター,n,n,n,n,n,勝ち,天盃龍
先攻,デスガイド,サイコトラッカー,リオン,リオン,フルアーマード,n,増G,n,n,n,n,n,勝ち,ユベル
先攻,デスガイド,サイコトラッカー,リオン,抹殺,大参上,n,うらら,n,n,n,n,n,勝ち,焔聖騎士
先攻,ヴェーラー,ベイゴマ,うらら,ミアンダ,フォクシー,n,うらら,うさぎ,ライスト,リブート,n,n,勝ち,天盃龍
後攻,デスガイド,セアミン,クラッタ,抹殺,泡影,ヴェーラー,大量妨害,増G,n,n,n,n,負け,VS
先攻,デスガイド,うらら,ミアンダ,フォクシー,スタートエンジン,n,ヴェーラー,n,n,n,n,n,勝ち,n
後攻,ヴェーラー,ベイゴマ,うらら,わらし,緊テレ,デスガイド,n,n,n,n,n,n,勝ち,ティアラ
後攻,デスガイド,ベイゴマ,RB,緊テレ,三戦,わらし,大量妨害,n,n,n,n,n,勝ち,粛声
先攻,ベイゴマ,ベイゴマ,リオン,リオン,泡影,n,泡影,n,n,n,n,n,負け,斬機
先攻,うさぎ,わらし,特攻ダグ,ベターラック,抹殺,n,増G,ガンマ,n,n,n,n,負け,天盃龍
先攻,ヴェーラー,うらら,わらし,緊テレ,フルアーマード,n,泡影,ガンマ,n,n,n,n,負け,センチュリオン
後攻,わらし,リオン,リオン,三戦,スタートエンジン,n,大量妨害,n,n,n,n,n,負け,ティアラ
先攻,増G,リオン,特攻ダグ,墓穴,三戦,n,n,n,n,n,n,n,負け,ノイド
先攻,ヴェーラー,うさぎ,リオン,リオン,緊テレ,n,ヴェーラー,n,n,n,n,n,勝ち,斬機
先攻,わらし,サイコトラッカー,ミアンダ,三戦,スタートエンジン,n,増G,n,n,n,n,n,負け,キマイラ
先攻,ヴェーラー,デスガイド,うらら,ミアンダ,墓穴,n,増G,ガンマ,n,n,n,n,勝ち,n
後攻,ヴェーラー,ヴェーラー,サイコウィールダー,緊テレ,フルアーマード,n,n,n,n,n,n,n,勝ち,ティアラ
先攻,ヴェーラー,デスガイド,ベイゴマ,わらし,墓穴,n,増G,n,n,n,n,n,勝ち,n
後攻,ベイゴマ,サイコトラッカー,リオン,キャリー,フルアーマード,n,大量妨害,ハンデス,n,n,n,n,負け,キマイラ
先攻,うさぎ,フォクシー,緊テレ,キャリー,フルアーマード,n,アトラクター,泡影,n,n,n,n,負け,天盃龍
先攻,デスガイド,うらら,ヴェーラー,リオン,フォクシー,n,増G,超融合,n,n,n,n,負け,キマイラ
後攻,ヴェーラー,うさぎ,サイコトラッカー,フォクシー,緊テレ,n,大量妨害,ハンデス,n,n,n,n,負け,キマイラ
